GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P
7161         1    3534129    3662765    127      25  6877      0.25606      0.39895
49856        1    3537331    3601671     61      11  7131     0.083438      0.46675
148870       1    3633965    3698209    134      18  7379     0.034104       0.4864
388588       1    3654352    3702546    132      15  7606        0.375      0.35383
57470        1    3686784    3748068    221      16  7708      0.72137      0.23534
9731         1    3718645    3808797    323      15  7559       1.3403     0.090082
1677         1    3738845    3811993    256      16  7547        1.508     0.065781
339448       1    3795697    3851857     74       6  7193      0.78518      0.21617
55966        1    4680105    4853851    502      64  7603      0.74627      0.22775
261734       1    5912870    6087618    355      13  7987       0.9336      0.17526
8514         1    6017358    6171253    236      25  7663       1.0788      0.14034
26038        1    6151847    6275194    217      25  7242       1.5767     0.057429
388591       1    6231189    6291359     38       7  7389       1.5114     0.065339
6146         1    6235080    6294679     35       6  7416       1.5932     0.055554
390992       1    6269252    6315638     33       5  7273       1.0922      0.13737
23463        1    6271253    6331044     49       4  7095      0.74565      0.22794
387509       1    6297406    6356035     62       7  7137     -0.16631      0.56604
11332        1    6314332    6488826    233      12  7594    -0.042844      0.51709
83715        1    6449836    6531004    134       9  7669      0.32263      0.37349
54626        1    6465292    6519724     70       5  7701      0.35672      0.36065
8718         1    6510787    6562432     46       7  7177      0.29497      0.38401
57449        1    6516152    6615121    166       8  7566      0.51008        0.305
79707        1    6571407    6649658    138       3  7613       0.4791      0.31593
80835        1    6579987    6649817    118       2  7743      0.46683      0.32031
3104         1    6605051    6659340     65       4  7513      0.07719      0.46924
148479       1    6638756    6694093     55       5  8085     -0.47212      0.68158
9903         1    6640784    6697958     64       5  8103     -0.42872      0.66594
90326        1    6649925    6705646     69       6  8104     -0.24921       0.5984
55735        1    6684228    6796966    180      11  7905      0.64266      0.26022
23261        1    6810384    7839766   1875     126  7759     -0.77357      0.78041
9341         1    7796329    7851492    117      17  7960      0.21019      0.41676
8863         1    7809413    7915241    253      18  8040      0.32506      0.37257
10911        1    7897672    7948551    171      18  7892      0.86656      0.19309
3604         1    7965931    8038225     69       8  7029     -0.60098      0.72607
11315        1    7986714    8055342     72       6  7221     -0.38278      0.64906
54206        1    8061779    8121393     65       5  7621     0.065725       0.4738
50651        1    8343171    8414227    123      13  7048      -1.4211      0.92235
473          1    8402464    8912699    530      13  7918     -0.97551      0.83535
2023         1    8911059    8974151     91      10  7515     -0.56678      0.71457
765          1    8970893    9045151    167      27  7402      0.96231      0.16795
155184       1    9053359    9121404    140      18  7370        2.276     0.011424
6518         1    9087005    9166763    188      16  7547       1.6943     0.045106
80045        1    9153472    9224229    118      12  7415     -0.74994      0.77336
9563         1    9259822    9341396    235      24  7404      0.48386      0.31424
80176        1    9300202    9439591    329      44  7214      0.82993      0.20329
84275        1    9564528    9652831     55       2  7601     0.062807      0.47496
199953       1    9613932    9684935     55       3  7811     0.013894      0.49446
5293         1    9676789    9799172    109      15  6937     -0.74363      0.77145
22883        1    9779079    9919550     97       7  7174     -0.63254      0.73648
56998        1    9898334   10005316     68       8  7310    -0.055272      0.52204
64802        1    9968486   10055556     76       6  7339      0.21751      0.41391
84328        1    9972168   10038460     63       5  7438       0.2334      0.40773
116362       1   10022255   10086078     40       3  7108      0.12272      0.45116
10277        1   10058041   10251297     62       6  7255    -0.034025      0.51357
23095        1   10235606   10451664    259       5  7878     0.088915      0.46457
5226         1   10423884   10490565    103       7  7625     -0.57698      0.71802
378708       1   10454944   10520239    100       9  7808      -0.6088      0.72867
100526739    1   10455159   10522060     98       8  7802      -0.5645      0.71379
1325         1   10474776   10522060     77       6  7870     -0.43503      0.66823
5195         1   10500003   10700815    303      15  7974     -0.74563      0.77205
1676         1   10510588   10567613     90       6  8024      -1.1361      0.87205
54897        1   10686661   10891733    140      31  6944     -0.42776      0.66559
148345       1   10996530   11077094    103      12  7040     -0.33268      0.63031
23435        1   11037462   11095549     64       5  7103     -0.37204      0.64507
10747        1   11076580   11142296     73       2  7596     -0.67926      0.75151
6723         1   11104649   11155091     46       1  7678     -0.91731      0.82051
5394         1   11116675   11194961     50       1  7815     -0.84584      0.80118
2475         1   11156588   11357614    111       2  7865     -0.77281      0.78018
10218        1   11214346   11266038     19       1  7947     -0.56519      0.71403
29914        1   11298255   11358491     33       1  7668     -0.47691      0.68329
57540        1   11504295   11607640    208      13  7548       1.9201     0.027425
93611        1   11679432   11733384     63      10  7021      -0.4652      0.67911
26270        1   11689150   11744411     66      14  6971      0.10644      0.45762
26232        1   11697924   11749888     43      12  6872      0.70881      0.23922
374946       1   11716781   11790336     78      17  7000       1.3629     0.086456
10459        1   11724537   11786678     70      15  7011       1.3577     0.087276
57085        1   11761142   11820828     74      14  7169      0.78689      0.21567
284498       1   11788827   11859642    194      16  7656     -0.46401      0.67868
1185         1   11831153   11913201    333      14  7847     -0.38939      0.65151
4524         1   11835787   11901160    266      12  7853     -0.32781      0.62847
4878         1   11895766   11942840    159      18  7634     0.090065      0.46412
4879         1   11907521   11953992    144      14  7709      -0.1878      0.57448
5351         1   11959724   12045599    198      16  7925      0.15634      0.43788
90231        1   11969645   12021485    128      12  7963      0.39254      0.34733
9927         1   12005238   12083572    173      16  7986      0.47403      0.31774
60672        1   12044299   12102106    101      11  7757      0.65064      0.25764
943          1   12088434   12214264    163      28  7165      0.18544      0.42644
7133         1   12192044   12279279     85      11  7291    -0.053721      0.52142
55187        1   12255101   12582099     90      13  7089      -1.3071      0.90441
9249         1   12617939   12712820    156      20  7368      0.40633      0.34225
343066       1   12669566   12737097     62      11  7175     -0.40728       0.6581
126767       1   12741118   12798726    106      10  7510      0.31204      0.37751
93190        1   12771163   12831102    134       7  7923    -0.028705      0.51145
390999       1   12799984   12848049     70       5  8030     -0.53461      0.70354
65121        1   12816546   12866777     35       3  7907      -0.5463      0.70757
126755       1   13791445   13875242    180      25  7396       2.7367    0.0031031
10630        1   13875252   13954452    135      24  7332      0.50009      0.30851
7799         1   13991714   14161574    216      18  7816      0.28722      0.38697
23254        1   14184646   15454544   3089     229  7552      -1.3589      0.91291
55092        1   15444028   15556974    503      27  7824       0.8306       0.2031
727684       1   15480692   15533120    229      20  7807       0.1416       0.4437
114827       1   15538730   15734767    472      41  7655       0.6783      0.24879
79180        1   15701391   15766839     98       9  7659      0.13342      0.44693
11330        1   15729938   15783153     67      12  7334      0.75554      0.22496
63036        1   15748223   15808586     88      12  7415       1.0657      0.14328
51032        1   15767596   15827895    129      14  7744      0.28297       0.3886
842          1   15807896   15886407    191       7  8207     -0.38389      0.64947
23341        1   15818343   15908228    198       7  8189     -0.36535      0.64257
79814        1   15888194   15946605    191       7  7938     -0.27314      0.60763
84301        1   15908953   16005539    257       6  7983    -0.060824      0.52425
6248         1   15951364   15998217     83       3  8130      0.10362      0.45874
23207        1   15975632   16071264    189       9  8085     0.093249      0.46285
284723       1   16027721   16077884    105       9  7869    -0.082889      0.53303
388595       1   16033987   16084292    107      10  7812     -0.29302      0.61524
54751        1   16048107   16123089    112      15  7389      -1.3011      0.90339
440567       1   16123657   16169194    177       8  7875     -0.13443      0.55347
23013        1   16139359   16276951    263      13  7937     -0.30295      0.61904
7709         1   16258364   16337627    188      17  7967     -0.76211        0.777
101928566    1   16267626   16333701    167      15  7964     -0.75873      0.77599
149563       1   16295731   16343184    166      14  7925     -0.99067      0.83908
1187         1   16313486   16370548    240      19  7843     -0.88794      0.81271
27129        1   16330523   16381084    204      17  7778    -0.020796       0.5083
1188         1   16335231   16393821    200      17  7744     0.023251      0.49073
348487       1   16374264   16435127     89      10  7135      0.97007      0.16601
1969         1   16440832   16517582    112      11  7774     -0.31901      0.62514
128272       1   16514599   16574104    142      10  7961       0.2886      0.38644
101927546    1   16541343   16588528     72       5  7981      0.91789      0.17934
79363        1   16548182   16598659     77       5  7964       1.0225      0.15328
54455        1   16563339   16713965    242       9  8067        1.111      0.13329
26099        1   16658525   16734643    139       9  8106       1.1737      0.12026
374955       1   16712101   16798919    149      18  7794      0.35725      0.36045
55707        1   16732167   16796585    103      13  7683     -0.15398      0.56119
100133301    1   16830561   16876198      2       1  6660      0.34044      0.36676
9696         1   17213445   17309474     50       8  7310     -0.98923      0.83872
4237         1   17290997   17343081     80       9  7291     -0.39608      0.65398
23400        1   17302453   17373467    131      10  7437    0.0060926      0.49757
6390         1   17335217   17415665    256       9  7807     -0.59853      0.72526
11240        1   17383256   17480948    278      14  7564     0.021309       0.4915
29943        1   17496621   17582501    227      18  7844      0.32287       0.3734
51702        1   17540593   17620728    248      28  7805    0.0061344      0.49755
23569        1   17599690   17700495    387      21  7923     -0.06447       0.5257
353238       1   17663741   17738195    254      17  7925      0.28606      0.38742
55920        1   17723251   17801250    149       9  7856      -1.0929      0.86279
55160        1   17811693   18034370    304      24  7437       1.0099      0.15627
81569        1   18046808   18163558    179      15  7674       1.0966      0.13642
84966        1   18399240   18714977    684      80  7541       -1.639      0.94939
127707       1   18772424   18822540    157      19  7800     -0.55959      0.71212
5081         1   18922500   19085360    229      29  7447       1.3004     0.096738
80834        1   19156093   19221155    104      13  7522    -0.056459      0.52251
8659         1   19187924   19264293     50       9  7315     -0.46674      0.67966
126917       1   19220774   19317826    190      16  7615      0.10649       0.4576
23352        1   19391000   19571812    251      14  8016       1.3471     0.088971
23065        1   19532158   19613053    163      15  7897     0.046373      0.48151
51154        1   19543075   19596622    124      12  7838     0.014833      0.49408
22977        1   19599057   19650280    110      18  7884     -0.27492      0.60831
54896        1   19603740   19668925    148      19  7910      0.46335      0.32156
8574         1   19619202   19673640    134      16  7919      0.64624      0.25906
832          1   19655267   19847066    459      22  8007      0.79182      0.21423
440574       1   19888471   19966315    171      14  7899     -0.17293      0.56865
100532736    1   19888471   19994949    226      21  7780     -0.47846      0.68384
4681         1   19934723   19994949    113      18  7646      -1.3182      0.90628
3362         1   19956780   20016055    115      14  7558      -1.2137      0.88756
255104       1   19998706   20161424    292      29  7659      -1.1771      0.88042
54546        1   20130522   20176771    100      17  7418     -0.58963      0.72228
23252        1   20173356   20249438    181      19  7809     -0.20711      0.58204
30814        1   20236800   20285110    103      13  7654      -1.9124      0.97209
5320         1   20291924   20341932    112      18  7130     -0.15005      0.55964
5322         1   20351157   20428394    174      17  7718      0.54978      0.29123
26279        1   20429143   20481059     58      15  7070     -0.27399      0.60795
64600        1   20430823   20486879     62      15  7176     -0.40558      0.65747
127733       1   20477578   20532540     69      10  7505       -0.531      0.70229
391013       1   20480484   20536687     66      10  7462     -0.56261      0.71315
127731       1   20582412   20691662    350      28  7815     -0.52793      0.70123
55450        1   20798884   20847728     69      10  7714     -0.41003      0.65911
79594        1   20815941   20869674    119      11  7858     -0.48131      0.68485
163933       1   20843932   20891513    144      16  7819     -0.88181      0.81106
978          1   20880444   20955401    347      24  7967     -0.91036      0.81868
65018        1   20924948   20988004    234      17  8111     -0.82283       0.7947
1650         1   20968260   21023037    124      17  7950     0.034467      0.48625
57576        1   20980475   21079317    176      29  7649      0.33242      0.36979
400745       1   21036225   21094133     90       9  7580      0.30887      0.37871
50809        1   21059170   21148808     67       3  7694      0.22708      0.41018
8672         1   21122785   21538381    375       6  8006      0.29314      0.38471
1889         1   21533740   21707034    357      32  7826      -1.5318      0.93722
84224        1   21731583   21821393     84       8  7522      0.20636      0.41826
249          1   21800475   21914905    319      31  7793     -0.27085      0.60675
5909         1   21912708   22031010    277      37  7741     -0.38982      0.65167
84196        1   21994791   22144688    311      20  7963     -0.42982      0.66634
401944       1   22103758   22161714    104      18  7722     -0.69096       0.7552
3339         1   22138737   22298750    298      19  7705     -0.59999      0.72574
23436        1   22268418   22325847    142       8  7481      0.21117      0.41638
10136        1   22293149   22349035     84       6  7068      0.49004      0.31205
998          1   22344120   22429439    214      14  7806      0.73781      0.23032
54361        1   22433798   22505474    179      26  7811     -0.33241      0.63021
9923         1   22743344   22867650    123       9  7497       -1.786      0.96295
2046         1   22855004   22940087    129      18  7451     -0.79153      0.78568
712          1   22928118   22976175    100      11  7476     0.041768      0.48334
714          1   22934969   22984603    103      12  7353      0.35193      0.36244
713          1   22944682   22998130     95      11  7326      0.56259      0.28686
2048         1   23002263   23251823    353      36  7494      0.60056      0.27407
646262       1   23269536   23334524    112       9  7816      0.14172      0.44365
23028        1   23310937   23420184    115       6  7982      -0.2477      0.59782
729059       1   23327327   23377343     48       5  7944     -0.16746       0.5665
7798         1   23400516   23539301    241      13  8025      0.11546      0.45404
3352         1   23508388   23556222    148       9  8127      0.44128      0.32951
10236        1   23625953   23706143     77       6  7753       1.2201       0.1112
80818        1   23675941   23731357     93      10  7626      0.53376      0.29675
6920         1   23697555   23786269    116      13  7497       1.7702      0.03835
55616        1   23745056   23845750    102      10  7553       1.8111     0.035065
1870         1   23822920   23892712     69      11  7270      -1.7533      0.96023
3399         1   23874421   23921285     44       4  7215     -0.61663      0.73126
6135         1   23983269   24032915     66       6  7521     -0.75327      0.77436
6924         1   24034856   24098549     51       5  7915      -1.0979      0.86388
57095        1   24069876   24124722     17       4  8161      0.11476      0.45432
11313        1   24082275   24132029     16       4  8080      0.59182      0.27699
2582         1   24112089   24162294     35       2  7948       1.3297      0.09181
3155         1   24118367   24200110     67       4  7746        1.395     0.081504
2517         1   24161567   24229859     35       3  7578       1.4093     0.079375
1269         1   24187005   24320549     11       2  7550      0.59787      0.27496
127294       1   24372531   24473665    249      26  7758         0.57      0.28434
58985        1   24436261   24504783    150      17  7886     -0.35083      0.63714
163702       1   24470647   24548765    144      19  7735      -1.5983      0.94501
57822        1   24610812   24700972    186      16  7849       1.8293      0.03368
90529        1   24673489   24776587    230      14  8082     0.035405      0.48588
57185        1   24707245   24809473    227      15  7967      0.34407       0.3654
11123        1   24793841   24873510    111       9  7717     0.090215      0.46406
400746       1   24847567   24945819    279      26  7657      -1.0611      0.85568
10250        1   24934594   25009772     52       5  7428      0.61967      0.26774
25932        1   25036760   25180815    115       6  7738     -0.25951      0.60238
864          1   25216002   25326648    190      21  7743     -0.41083       0.6594
25949        1   25538767   25594013      1       1  7058       0.0715       0.4715
57035        1   25558740   25609010      1       1  7058       0.0715       0.4715
6007         1   25563884   25666936      1       1  7058       0.0715       0.4715
23585        1   25629789   25698852     10       1  6952    -0.053183      0.52121
6006         1   25677853   25782363     64       1  7465     -0.24773      0.59783
55219        1   25722388   25836700     50       1  7513     -0.40458      0.65711
26119        1   25835071   25905377     33       2  7767     -0.60439      0.72721
57134        1   25908959   26121258    184      17  7562     -0.12309      0.54898
57190        1   26091667   26154713    102      10  7502      0.94536      0.17224
56181        1   26111397   26169433    105       5  7634      0.94543      0.17222
79000        1   26148414   26220939    107       4  8040      0.86516      0.19348
164091       1   26177975   26237461     59       4  8092      0.34434       0.3653
3925         1   26200670   26268368     67       4  7956      0.33919      0.36723
5051         1   26276258   26361366    134       7  7872     -0.52012      0.69851
2134         1   26313266   26372955     78       7  7978      0.54362      0.29335
7780         1   26354513   26408439     94       6  7858      0.74432      0.22834
84676        1   26367792   26429142     98       5  7902      0.47551      0.31721
149420       1   26402656   26462039    100       2  8077     -0.33627      0.63167
79927        1   26450511   26499119     79       7  7690     -0.49296      0.68898
51042        1   26461388   26507364     81       9  7544     -0.05187      0.52068
10256        1   26468981   26526375    122      12  7605      0.65074      0.25761
378807       1   26482119   26539033    132      14  7636         0.65      0.25785
64793        1   26525644   26615529    262      12  7686       1.4259     0.076954
83442        1   26571213   26618013    127      10  7552       1.5656     0.058717
91544        1   26598773   26679756    218      17  7535       1.3856     0.082941
1043         1   26609411   26657014    134      11  7456       1.5197     0.064295
55057        1   26638350   26715621    215      22  7728       0.5608      0.28747
257101       1   26678125   26736023    152      19  7484     -0.57026      0.71575
79727        1   26702269   26766219    105      16  7138     -0.34584      0.63527
79947        1   26723773   26807797    103      13  7353      -1.3886      0.91753
3151         1   26763902   26813133     51       7  7478      -1.3673      0.91423
6195         1   26821249   26911520    121      11  7291      -2.0713      0.98084
8289         1   26987522   27118601    116       5  7596     -0.17229       0.5684
101928728    1   27008623   27057896     52       3  7703     0.083671      0.46666
55650        1   27078739   27134894     40       3  7858     -0.34665      0.63557
84243        1   27118201   27194092     65       6  7675      0.13241      0.44733
2810         1   27154633   27200947     53       5  7653       0.3432      0.36572
54707        1   27195872   27251869     63       6  7935      0.27268      0.39255
63906        1   27206979   27261962     57       5  7930     0.066689      0.47341
10726        1   27213187   27283362     62       5  7976     -0.11762      0.54682
8431         1   27227975   27275567     43       4  7959    0.0032276      0.49871
126695       1   27266047   27321901     46       4  7794    -0.045774      0.51825
388610       1   27285189   27337377     37       3  7381    0.0064173      0.49744
115572       1   27321511   27374333     16       3  7100       0.8645      0.19366
6548         1   27415300   27516621    130       2  8031      0.34067      0.36668
23038        1   27526007   27645124     63       8  7747      0.31525      0.37629
84065        1   27613636   27672891     26       4  7425     -0.12375      0.54924
84958        1   27633483   27690423     36       6  7348     -0.27141      0.60696
9064         1   27671670   27728558     35       6  7266      0.46526      0.32087
2827         1   27684148   27732318     29       4  7301      0.50536      0.30665
8547         1   27685601   27736315     29       4  7304      0.54074      0.29434
388611       1   27695596   27744823     27       2  7352      0.74146      0.22921
10163        1   27720734   27851678    117       2  7810        0.751      0.22633
27245        1   27850756   27965463     24       2  7807      0.52436      0.30001
2268         1   27928800   27996727      6       2  6575      0.15915      0.43677
2537         1   27982572   28033724      1       1  6083       1.3286      0.09199
199870       1   28017490   28099426      1       1  7058       0.6632       0.2536
23673        1   28064694   28160963      1       1  6264      0.52872       0.2985
5511         1   28122252   28188183      1       1  6264      0.52872       0.2985
9473         1   28164055   28223196     55       5  7585       1.1171      0.13198
6118         1   28208035   28276255    190      10  7985       1.3429      0.08965
27293        1   28226456   28295663    172      10  7981       1.3453     0.089262
55113        1   28251504   28304604    110       9  7955       1.4389     0.075095
2140         1   28286855   28450173    153      11  7789     -0.28983      0.61403
5724         1   28463677   28555447     93       7  7918     -0.39785      0.65463
22826        1   28516789   28594542    166       7  8018     -0.61741      0.73152
93974        1   28527602   28574616    102       5  8041      -0.5216      0.69903
83667        1   28550963   28619002    116       6  7914     -0.71013      0.76119
54797        1   28620513   28672478     56       8  7610      0.43695      0.33107
65979        1   28661093   28836881    281       3  8104       1.1682      0.12136
1104         1   28797455   28875708     52       3  7584       1.3686     0.085562
54952        1   28844529   28915057     48       3  7258        1.699     0.044661
115273       1   28883712   28931098     27       3  7536       1.8476     0.032331
6883         1   28919608   29010416     64       5  7674       1.0924      0.13734
10691        1   28960234   29052115     86       6  7776      0.56324      0.28664
51441        1   29028133   29106287     80       5  8011      0.41021      0.34082
4985         1   29103654   29200208    188      21  7761      0.92264       0.1781
2035         1   29178603   29456558    390      19  7731     -0.45589      0.67577
399474       1   29435937   29485421     84      10  7574     -0.57781       0.7183
6429         1   29464250   29543637    109      11  7625      -1.3747      0.91539
51102        1   29509385   29592460    133      13  7554      -1.5577      0.94035
10076        1   29528028   29663325    222      25  7339     -0.50181       0.6921
4146         1   31174124   31231432    139      13  7609      0.68578      0.24643
7805         1   31195315   31265683    110      14  7287      0.10661      0.45755
9672         1   31332313   31416480    104      23  7466       1.2025      0.11459
9698         1   31394353   31573838    275      11  7574      0.65813      0.25523
79570        1   31642592   31747734    215      10  7540       2.1727     0.014901
9410         1   31722415   31804644    143       5  7430      0.59782      0.27498
51538        1   31734832   31848569    179       6  7446      0.59609      0.27556
2170         1   31828100   31880923    120       5  7907       1.0218      0.15345
347735       1   31847412   31917527    184      11  7738      0.64484      0.25952
64129        1   32007086   32063290     62      10  7094        2.352    0.0093362
3061         1   32048290   32103214     61       5  7150     -0.58531      0.72083
553115       1   32085463   32145838     73       5  7452      -0.5065      0.69375
1307         1   32107848   32204768     95      11  7428     -0.91447      0.81976
576          1   32182718   32265494     35       6  7279      -1.7934      0.96355
90853        1   32246023   32316630     94      11  7877      -1.0599       0.8554
8073         1   32362022   32438988     56       6  7592      0.19322      0.42339
10657        1   32444295   32536460      8       3  7605      0.72143      0.23532
55116        1   32503503   32578467     36       2  8144      0.85334      0.19674
23633        1   32538644   32652169     67       2  7799      0.65975      0.25471
200081       1   32610293   32673886     32       1  7664      0.56885      0.28473
79140        1   32631202   32680991     30       2  7789      0.61545      0.26913
55721        1   32636236   32684288     30       2  7807      0.62212      0.26693
149069       1   32639695   32691797     36       2  7817      0.66499      0.25303
8668         1   32652971   32707205     43       2  7893      0.64643        0.259
56063        1   32670040   32722954     37       2  7799      0.59546      0.27577
84734        1   32677818   32724461     30       2  7941      0.64091      0.26079
3932         1   32681840   32761766     34       3  7690      0.54608      0.29251
3065         1   32722708   32809227      7       3  6729     -0.20138       0.5798
81629        1   32783365   32840098      1       1  8406     -0.53768       0.7046
65108        1   32789430   32836840      1       1  8406     -0.53768       0.7046
100128071    1   32816871   32862844      1       1  8406     -0.53768       0.7046
55108        1   32820704   32895062     12       2  7721     -0.49441      0.68949
728116       1   32895658   32963460     60       1  7737      0.46468      0.32108
653121       1   32969772   33081542    162       4  8043      0.69456      0.24366
339487       1   33076421   33151565     10       2  6977     -0.30871      0.62123
5928         1   33081749   33161812     11       2  7046     -0.31941      0.62529
81493        1   33135507   33203361     25       2  7571     -0.73382      0.76847
57648        1   33172492   33250571     53       8  7501      0.80021      0.21179
8565         1   33230840   33318633     97       6  8015       1.1908      0.11686
64766        1   33247368   33334480     92       6  8060       1.1534      0.12438
3208         1   33316688   33370247     37       6  7650       1.2523      0.10523
252995       1   33317869   33373093     35       5  7687       1.3167     0.093962
113452       1   33350196   33402041     35       2  7760        1.036      0.15009
127544       1   33392050   33465467     89       7  7821      0.21464      0.41502
204          1   33463541   33537512     53       1  8045      -1.3316       0.9085
113451       1   33511711   33596132     58       2  7993      -1.7823      0.96265
55223        1   33601000   33682671     94       2  7742     -0.47234      0.68166
149076       1   33686908   33776321     91       5  7905      0.24578      0.40293
127550       1   33762367   33821699    102       8  7937      0.62256      0.26679
1912         1   33779224   33876194    187      13  8020      0.96553      0.16714
7579         1   33903232   33972105    144      17  7907      0.14424      0.44265
114784       1   33969609   34666443   1263     102  7744       0.1476      0.44133
127540       1   34291076   34340392    120       7  7702     -0.37359      0.64565
84970        1   34597624   34694732    211      27  7657       1.1963      0.11578
2709         1   35185648   35234113     11       4  7039      0.40468      0.34285
127534       1   35190342   35239325      2       1  6305      0.10485      0.45825
113444       1   35305963   35360417     42      11  7109       1.4948     0.067489
58512        1   35321037   35426083     47      12  6955       1.5368     0.062166
100506144    1   35437127   35485948      1       1  6372     0.015291       0.4939
9204         1   35441766   35532569      2       1  6715     -0.66521      0.74704
79830        1   35490387   35591460     24       1  6965     -0.62787      0.73496
6421         1   35631981   35693766     17       1  6657     -0.58002      0.71905
9202         1   35699444   35897545     14       2  6599      0.42525      0.33533
79932        1   35889091   36058037     21       3  6992      0.36515       0.3575
23154        1   35988311   36042380      9       1  7325      0.28471      0.38793
339488       1   36003971   36070929      8       1  7760      0.33853      0.36748
5690         1   36030259   36142445     10       1  7164      0.35584      0.36098
127703       1   36169477   36219790     35       3  6635    -0.062259      0.52482
63967        1   36175819   36270568     60       4  6676      -0.2502      0.59878
192670       1   36238231   36333491     48       3  6727     -0.18787      0.57451
26523        1   36300412   36405211     42       4  6875    -0.057305      0.52285
192669       1   36361364   36532360     71       3  7017    -0.088776      0.53537
27285        1   36514676   36563877     19       2  7381      0.13974      0.44443
54936        1   36519453   36569533     29       3  7256      0.73187      0.23212
1296         1   36550840   36626305     77       6  7487       1.4563     0.072655
55700        1   36586751   36656450     57       4  7608       1.0004      0.15855
27095        1   36592170   36656654     52       3  7610      0.92376      0.17781
9967         1   36655017   36780958     60       3  7412     -0.32565      0.62766
79729        1   36736889   36803544     47       4  7438      -0.3209      0.62586
55194        1   36777631   36825567     40       4  7640     -0.33702      0.63195
83931        1   36795225   36886525    173      13  7913     -0.40472      0.65716
84967        1   36849031   36898493    171       9  8060     -0.35808      0.63986
127700       1   36873507   36951086    219      11  8045     -0.73263      0.76811
64960        1   36911362   36965040    103       9  7746     -0.53704      0.70438
1441         1   36921644   36983915     85      13  7444     -0.39772      0.65458
2899         1   37251128   37534844    373      28  7710     -0.11327      0.54509
80149        1   37905119   37959978    110      13  7706     -0.96614      0.83301
64769        1   37945561   38015420    136      15  8069      0.56093      0.28742
7802         1   37987520   38042458     84      10  8102      0.96944      0.16616
79753        1   37990050   38054945    111      11  8110       1.0274      0.15211
29889        1   38022413   38096586    125      13  8009       1.0284      0.15188
284654       1   38066821   38135595    116      19  7827       0.6505      0.25768
55143        1   38123073   38185391    117      11  7742     0.052533      0.47905
54955        1   38137242   38193007    142      10  7863    0.0097147      0.49612
284656       1   38171646   38265824    246      21  7888     -0.70975      0.76107
149175       1   38224721   38277278     84       8  7773     -0.74872      0.77299
127687       1   38238473   38285126     70       8  7794      -1.0042      0.84236
