GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,symbol,P_bonf,P_fdr
7351,11,73675716,73728889,94,10,7840,2.5559,0.0052957,UCP2,1.0,0.921464544469615
56886,2,128813754,128963251,266,9,7926,2.5534,0.0053343,UGGT1,1.0,0.921464544469615
10097,2,65419829,65508387,190,13,7978,2.5522,0.0053515,ACTR2,1.0,0.921464544469615
55210,1,1412523,1480067,5,1,7000,2.547,0.0054329,ATAD3A,1.0,0.921464544469615
9020,17,43330488,43429414,73,8,7823,2.545,0.0054637,MAP3K14,1.0,0.921464544469615
9988,7,86746677,86835648,111,7,7756,2.5447,0.0054689,DMTF1,1.0,0.921464544469615
9063,18,44378900,44535130,239,9,8011,2.5427,0.0055004,PIAS2,1.0,0.921464544469615
85460,4,10431497,10494032,113,11,7814,2.5423,0.0055058,ZNF518B,1.0,0.921464544469615
51398,19,12768881,12815465,6,1,7476,2.5388,0.005562,WDR83OS,1.0,0.921464544469615
100134391,17,71698993,71762696,235,28,7709,2.5375,0.0055831,LOC100134391,1.0,0.921464544469615
8687,17,39582621,39632596,247,11,8137,2.5289,0.0057207,KRT38,1.0,0.921464544469615
1773,16,3626772,3722689,168,6,7700,2.5256,0.0057754,DNASE1,1.0,0.921464544469615
388403,17,57374053,57489095,184,18,7794,2.523,0.0058172,YPEL2,1.0,0.921464544469615
11283,19,15691029,15750448,334,16,7919,2.5224,0.0058284,CYP4F8,1.0,0.921464544469615
10227,4,2922288,2971586,71,7,7743,2.5184,0.0058936,MFSD10,1.0,0.921464544469615
130733,2,39857638,39955103,93,3,7195,2.5005,0.0062011,TMEM178A,1.0,0.921464544469615
6039,14,21214210,21260626,208,24,7688,2.4994,0.0062207,RNASE6,1.0,0.921464544469615
161514,15,74130922,74191555,127,13,7868,2.4977,0.0062502,TBC1D21,1.0,0.921464544469615
6367,16,57357695,57410102,83,11,7443,2.4952,0.0062945,CCL22,1.0,0.921464544469615
80321,3,138203186,138348187,141,3,7996,2.4951,0.0062967,CEP70,1.0,0.921464544469615
84464,16,3621182,3696585,144,4,7920,2.4948,0.0063019,SLX4,1.0,0.921464544469615
79192,5,3561168,3611517,140,12,7638,2.4935,0.0063241,IRX1,1.0,0.921464544469615
4440,12,120769133,120841983,99,9,7837,2.4924,0.006344,MSI1,1.0,0.921464544469615
285672,5,64003975,64099496,118,10,8007,2.4892,0.0064014,SREK1IP1,1.0,0.921464544469615
153,10,115768806,115816667,131,9,8040,2.4874,0.0064336,ADRB1,1.0,0.921464544469615
925,2,87001728,87070519,116,10,7691,2.4856,0.006467,CD8A,1.0,0.921464544469615
2160,4,187152099,187220835,177,18,7832,2.4848,0.0064808,F11,1.0,0.921464544469615
79161,7,86815477,86884889,75,8,7790,2.4846,0.0064852,TMEM243,1.0,0.921464544469615
81550,13,60935591,61158013,365,19,7825,2.4845,0.0064875,TDRD3,1.0,0.921464544469615
51307,5,137638224,137695418,80,8,7848,2.4798,0.0065727,FAM53C,1.0,0.921464544469615
390436,14,20550566,20596597,95,7,7582,2.4751,0.0066609,OR4K17,1.0,0.921464544469615
752,17,43264192,43334685,60,9,7282,2.4685,0.0067848,FMNL1,1.0,0.921464544469615
23275,21,46673843,46742811,135,7,7640,2.4683,0.0067882,POFUT2,1.0,0.921464544469615
57088,3,145900122,146003966,208,13,7880,2.4679,0.0067958,PLSCR4,1.0,0.921464544469615
148753,1,179661912,179795333,333,23,7888,2.4654,0.0068439,FAM163A,1.0,0.921464544469615
64184,14,21201586,21249107,236,26,7670,2.465,0.0068501,EDDM3B,1.0,0.921464544469615
26059,3,55532336,56537391,1758,62,7822,2.4641,0.0068678,ERC2,1.0,0.921464544469615
254427,10,11830295,11924276,228,29,7665,2.4573,0.0069988,PROSER2,1.0,0.921464544469615
29035,16,9150537,9223555,191,16,7640,2.4552,0.0070404,C16orf72,1.0,0.921464544469615
51650,7,140695961,140749781,67,5,8067,2.451,0.0071233,MRPS33,1.0,0.921464544469615
51144,11,43667108,43888169,359,15,8000,2.4494,0.0071553,HSD17B12,1.0,0.921464544469615
2676,5,137578069,137645544,79,8,7967,2.4483,0.0071774,GFRA3,1.0,0.921464544469615
79750,3,21449911,22449132,3397,173,7715,2.4472,0.0071994,ZNF385D,1.0,0.921464544469615
5078,7,127240346,127290982,57,8,8038,2.4413,0.0073166,PAX4,1.0,0.921464544469615
55179,3,138292542,138362218,65,3,7927,2.4351,0.0074448,FAIM,1.0,0.921464544469615
101060179,11,45199027,45246295,72,8,7878,2.431,0.0075289,LOC101060179,1.0,0.921464544469615
5685,15,78797747,78851562,102,5,7293,2.4305,0.0075389,PSMA4,1.0,0.921464544469615
5629,1,214126278,214224853,91,11,7692,2.4293,0.0075634,PROX1,1.0,0.921464544469615
64800,22,43914624,44243217,759,27,8085,2.4266,0.0076215,EFCAB6,1.0,0.921464544469615
23468,12,54614730,54708915,47,6,7467,2.4265,0.0076225,CBX5,1.0,0.921464544469615
7979,7,96308079,96374203,111,12,7988,2.4242,0.0076719,SHFM1,1.0,0.921464544469615
80014,4,183985463,184251930,268,23,7894,2.4209,0.0077409,WWC2,1.0,0.921464544469615
1138,15,78822862,78897611,136,8,7300,2.413,0.0079114,CHRNA5,1.0,0.921464544469615
84878,19,59014897,59066845,33,5,7208,2.412,0.0079328,ZBTB45,1.0,0.921464544469615
3055,20,30604991,30699659,101,11,7569,2.4111,0.0079517,HCK,1.0,0.921464544469615
388335,17,10606631,10668646,96,2,7853,2.4045,0.0080966,TMEM220,1.0,0.921464544469615
146167,16,84033389,84110762,325,33,7257,2.4011,0.0081725,SLC38A8,1.0,0.921464544469615
23087,8,27132404,27203834,99,10,7707,2.3992,0.0082153,TRIM35,1.0,0.921464544469615
10121,10,104228986,104297580,152,5,7973,2.3977,0.0082498,ACTR1A,1.0,0.921464544469615
841,2,202063166,202162434,126,15,7658,2.3939,0.0083348,CASP8,1.0,0.921464544469615
441061,5,16057474,16214897,160,17,7464,2.3916,0.0083873,MARCH11,1.0,0.921464544469615
118,4,2810454,2941803,156,17,7586,2.3908,0.0084058,ADD1,1.0,0.921464544469615
3842,5,72077418,72220215,200,12,8103,2.3854,0.0085308,TNPO1,1.0,0.921464544469615
79070,13,103426631,103486404,85,7,7617,2.3841,0.0085615,KDELC1,1.0,0.921464544469615
8600,13,43101872,43192149,144,10,8029,2.3814,0.0086237,TNFSF11,1.0,0.921464544469615
26533,14,22027934,22073875,213,28,7383,2.3804,0.0086479,OR10G3,1.0,0.921464544469615
5037,12,118538668,118593390,79,10,7798,2.3798,0.0086607,PEBP1,1.0,0.921464544469615
3178,12,54639480,54690871,23,3,7307,2.3766,0.0087373,HNRNPA1,1.0,0.921464544469615
5319,12,120749914,120800592,86,8,7890,2.3431,0.0095617,PLA2G1B,1.0,0.921464544469615
79571,7,127210682,127260654,75,8,7784,2.3382,0.0096893,GCC1,1.0,0.921464544469615
54940,4,48797599,48873834,31,2,7713,2.3369,0.0097229,OCIAD1,1.0,0.921464544469615
51447,3,48715436,48789711,72,5,7736,2.3353,0.0097632,IP6K2,1.0,0.921464544469615
6461,9,37905895,38104210,338,13,7994,2.3322,0.009844,SHB,1.0,0.921464544469615
57540,1,11504295,11607640,208,13,7548,2.3312,0.0098727,PTCHD2,1.0,0.921464544469615
5586,1,89114876,89311938,107,3,8003,2.3306,0.0098883,PKN2,1.0,0.921464544469615
285195,3,142974063,143602373,1188,95,7725,2.3302,0.0098984,SLC9A9,1.0,0.921464544469615
339834,3,49200861,49305636,89,5,8094,2.3248,0.010042,CCDC36,1.0,0.921464544469615
83850,3,138118415,138207910,71,10,7566,2.3222,0.010112,ESYT3,1.0,0.921464544469615
8807,2,103000254,103079025,270,11,8151,2.32,0.010169,IL18RAP,1.0,0.921464544469615
3882,17,39605765,39658638,227,12,8100,2.32,0.010171,KRT32,1.0,0.921464544469615
55239,16,56450424,56521407,73,8,7968,2.3193,0.010189,OGFOD1,1.0,0.921464544469615
50604,1,207003699,207052568,48,7,7192,2.3187,0.010207,IL20,1.0,0.921464544469615
140578,21,19365190,19649687,623,60,7386,2.3176,0.010235,CHODL,1.0,0.921464544469615
2559,5,161077658,161139598,125,11,8096,2.3167,0.010261,GABRA6,1.0,0.921464544469615
60558,4,44645433,44712944,148,6,7763,2.315,0.010306,GUF1,1.0,0.921464544469615
83889,19,38365213,38432317,78,8,7472,2.3107,0.010424,WDR87,1.0,0.921464544469615
64129,1,32007086,32063290,62,10,7094,2.307,0.010526,TINAGL1,1.0,0.921464544469615
51684,10,104228719,104403214,313,7,8058,2.3064,0.010545,SUFU,1.0,0.921464544469615
2619,9,89549277,89597104,145,10,8031,2.3037,0.010619,GAS1,1.0,0.921464544469615
92092,7,138700452,138755775,117,4,7676,2.3028,0.010645,ZC3HAV1L,1.0,0.921464544469615
94030,19,51010149,51106302,133,21,7158,2.3025,0.010654,LRRC4B,1.0,0.921464544469615
50861,20,62261058,62319963,155,14,7557,2.3015,0.010682,STMN3,1.0,0.921464544469615
64066,11,102552415,102611468,216,23,7918,2.3009,0.0107,MMP27,1.0,0.921464544469615
55152,3,49042832,49093504,24,3,7923,2.2989,0.010755,DALRD3,1.0,0.921464544469615
56301,19,33689570,33751756,75,14,6811,2.2975,0.010796,SLC7A10,1.0,0.921464544469615
101927420,7,86770739,86816643,42,5,7784,2.2945,0.010882,LOC101927420,1.0,0.921464544469615
55754,6,75952638,76029632,82,8,7526,2.2927,0.010932,TMEM30A,1.0,0.921464544469615
375341,3,49296030,49349864,39,5,7924,2.2887,0.01105,C3orf62,1.0,0.921464544469615
255220,9,113055762,113135163,260,26,7745,2.2845,0.011171,TXNDC8,1.0,0.921464544469615
267,16,56385364,56494450,143,7,7975,2.2837,0.011193,AMFR,1.0,0.921464544469615
11051,16,56453048,56520261,69,8,7965,2.2808,0.011281,NUDT21,1.0,0.921464544469615
9315,5,111055000,111347628,421,31,7696,2.2791,0.011329,NREP,1.0,0.921464544469615
494115,1,89435139,89493643,62,8,7339,2.2785,0.011348,RBMXL1,1.0,0.921464544469615
10236,1,23625953,23706143,77,6,7753,2.2742,0.011477,HNRNPR,1.0,0.921464544469615
5292,6,37102922,37153204,66,6,7484,2.273,0.011513,PIM1,1.0,0.921464544469615
2961,8,30426031,30550738,169,14,7825,2.271,0.011574,GTF2E2,1.0,0.921464544469615
140628,20,61028553,61086026,30,7,7043,2.269,0.011634,GATA5,1.0,0.921464544469615
900,5,162829573,162882022,61,6,7405,2.2686,0.011647,CCNG1,1.0,0.921464544469615
283208,11,73948532,74057699,113,9,8048,2.2684,0.011652,P4HA3,1.0,0.921464544469615
420,12,14972245,15031413,137,5,7977,2.2678,0.01167,ART4,1.0,0.921464544469615
6993,6,159047506,159100804,105,11,7972,2.2677,0.011675,DYNLT1,1.0,0.921464544469615
955,20,25141327,25217365,173,15,7757,2.2665,0.01171,ENTPD6,1.0,0.921464544469615
29091,14,25268860,25554095,684,42,7995,2.2634,0.011804,STXBP6,1.0,0.921464544469615
597,15,80243232,80298643,60,5,7665,2.2607,0.01189,BCL2A1,1.0,0.921464544469615
646498,3,49205069,49264291,56,4,8072,2.2574,0.011992,C3orf84,1.0,0.921464544469615
808,19,47069512,47124039,97,14,7379,2.2572,0.011996,CALM3,1.0,0.921464544469615
55311,19,56617320,56682262,50,4,6948,2.2572,0.011998,ZNF444,1.0,0.921464544469615
7265,5,159401156,159502550,125,9,7761,2.2525,0.012145,TTC1,1.0,0.921464544469615
197358,16,3579033,3662392,153,4,7826,2.2523,0.012152,NLRC3,1.0,0.921464544469615
23555,10,71141821,71281569,415,18,7757,2.2465,0.012338,TSPAN15,1.0,0.921464544469615
1361,13,46617201,46730318,267,16,7613,2.2441,0.012414,CPB2,1.0,0.921464544469615
253461,3,141008055,141178634,149,15,7404,2.243,0.012449,ZBTB38,1.0,0.921464544469615
56986,15,49878226,49947333,77,9,7877,2.2417,0.012491,DTWD1,1.0,0.921464544469615
5159,5,149483402,149570447,158,25,7627,2.2404,0.012531,PDGFRB,1.0,0.921464544469615
27044,7,127257043,127742659,494,18,8053,2.2397,0.012554,SND1,1.0,0.921464544469615
7161,1,3534129,3662765,127,25,6877,2.2378,0.012618,TP73,1.0,0.921464544469615
54554,3,122120700,122169882,87,9,7982,2.237,0.012642,WDR5B,1.0,0.921464544469615
171389,11,243570,295388,112,14,7687,2.2361,0.012671,NLRP6,1.0,0.921464544469615
3615,3,49051758,49101875,25,3,7942,2.2359,0.012679,IMPDH2,1.0,0.921464544469615
2969,7,74036991,74185022,70,5,7543,2.2357,0.012684,GTF2I,1.0,0.921464544469615
389015,2,103054173,103160433,398,17,8121,2.23,0.012874,SLC9A4,1.0,0.921464544469615
153020,4,82337547,82428082,130,14,7787,2.229,0.012908,RASGEF1B,1.0,0.921464544469615
100507341,8,30461117,30513473,75,7,8054,2.2285,0.012923,SMIM18,1.0,0.921464544469615
124152,16,19692778,19879087,235,8,7655,2.2256,0.013019,IQCK,1.0,0.921464544469615
54841,13,103416399,103503888,128,10,7682,2.2248,0.013047,BIVM,1.0,0.921464544469615
90332,19,45705879,45772469,75,8,7382,2.2217,0.013153,EXOC3L2,1.0,0.921464544469615
440087,12,14947584,15002116,107,11,7995,2.221,0.013176,SMCO3,1.0,0.921464544469615
339976,4,189025598,189078649,192,23,7190,2.2199,0.013213,TRIML1,1.0,0.921464544469615
66002,19,15748567,15817984,395,20,7775,2.2169,0.013314,CYP4F12,1.0,0.921464544469615
23516,8,22189762,22301642,244,16,7583,2.2129,0.013451,SLC39A14,1.0,0.921464544469615
255877,17,6891368,6943609,97,9,7718,2.2128,0.013455,BCL6B,1.0,0.921464544469615
1893,1,150445487,150496265,115,8,7945,2.2117,0.013495,ECM1,1.0,0.921464544469615
10998,19,58999700,59058432,51,6,7118,2.2108,0.013524,SLC27A5,1.0,0.921464544469615
3818,4,187113502,187189625,224,17,7877,2.2081,0.013619,KLKB1,1.0,0.921464544469615
90874,1,120152000,120225813,140,17,7603,2.2056,0.013706,ZNF697,1.0,0.921464544469615
146760,17,1827971,1963178,255,29,6929,2.2049,0.01373,RTN4RL1,1.0,0.921464544469615
7514,2,61695069,61800440,124,6,7855,2.2047,0.013739,XPO1,1.0,0.921464544469615
80222,1,150424840,150490085,161,9,8032,2.2028,0.013805,TARS2,1.0,0.921464544469615
6546,2,40329286,40774575,968,57,7512,2.199,0.013939,SLC8A1,1.0,0.921464544469615
7092,4,166759390,167036330,319,33,7460,2.1968,0.014017,TLL1,1.0,0.921464544469615
221,11,67741048,67806743,126,10,7784,2.1924,0.014177,ALDH3B1,1.0,0.921464544469615
6341,17,10573649,10635885,116,2,7915,2.1893,0.014288,SCO1,1.0,0.921464544469615
51750,20,62254163,62337606,195,16,7569,2.1873,0.014361,RTEL1,1.0,0.921464544469615
9777,20,30662309,30765061,131,8,7894,2.1852,0.014439,TM9SF4,1.0,0.921464544469615
4256,12,15024115,15073853,88,3,7856,2.1844,0.014466,MGP,1.0,0.921464544469615
80162,11,253480,307511,76,11,7457,2.1815,0.014572,ATHL1,1.0,0.921464544469615
114770,19,15569456,15625315,73,10,6800,2.1802,0.01462,PGLYRP2,1.0,0.921464544469615
164633,22,30081344,30137822,123,16,7698,2.1785,0.014683,CABP7,1.0,0.921464544469615
401,11,71940121,71990220,25,5,7360,2.1777,0.014712,PHOX2A,1.0,0.921464544469615
25803,6,34495579,34559110,101,13,7824,2.1773,0.014728,SPDEF,1.0,0.921464544469615
389207,4,42860283,43042675,357,25,7949,2.1714,0.014952,GRXCR1,1.0,0.921464544469615
51148,9,131138854,131209630,75,4,7453,2.1681,0.015074,CERCAM,1.0,0.921464544469615
6344,2,120187419,120317028,183,13,7664,2.1665,0.015137,SCTR,1.0,0.921464544469615
5898,7,39628152,39757723,178,15,7931,2.1659,0.01516,RALA,1.0,0.921464544469615
8872,10,12202961,12302589,149,13,7663,2.1658,0.015163,CDC123,1.0,0.921464544469615
286183,8,63126501,63922211,1770,48,7912,2.1629,0.015276,NKAIN3,1.0,0.921464544469615
283248,11,63668693,63719407,38,3,7645,2.1621,0.015307,RCOR2,1.0,0.921464544469615
51704,16,19860293,19932049,109,12,7670,2.159,0.015423,GPRC5B,1.0,0.921464544469615
25915,3,49022908,49070928,20,3,7925,2.1566,0.015517,NDUFAF3,1.0,0.921464544469615
23172,10,126455354,126535239,61,6,7785,2.1559,0.015545,FAM175B,1.0,0.921464544469615
84667,17,8013908,8062410,64,10,7115,2.154,0.015619,HES7,1.0,0.921464544469615
56985,17,10565927,10626264,112,3,7804,2.1539,0.015623,ADPRM,1.0,0.921464544469615
84654,5,79580790,79627661,182,20,7798,2.1516,0.015714,SPZ1,1.0,0.921464544469615
59344,17,7989218,8057365,93,18,6883,2.1515,0.015719,ALOXE3,1.0,0.921464544469615
7375,3,49304577,49412536,99,8,8050,2.1507,0.015751,USP4,1.0,0.921464544469615
51780,5,137653285,137782716,178,13,7852,2.1483,0.015843,KDM3B,1.0,0.921464544469615
202333,5,78950659,79106049,308,33,7662,2.1475,0.015877,CMYA5,1.0,0.921464544469615
122622,14,105155534,105223662,119,14,6799,2.147,0.015899,ADSSL1,1.0,0.921464544469615
8566,21,45103978,45192188,166,20,7540,2.1454,0.01596,PDXK,1.0,0.921464544469615
127829,1,202092532,202148871,109,22,7496,2.1452,0.015969,ARL8A,1.0,0.921464544469615
9854,11,118942771,118998304,98,10,7819,2.1446,0.015993,C2CD2L,1.0,0.921464544469615
27154,6,36129408,36210567,56,8,7815,2.1446,0.015993,BRPF3,1.0,0.921464544469615
54941,18,29563445,29663154,156,20,7122,2.1445,0.015997,RNF125,1.0,0.921464544469615
6725,20,62162163,62213857,49,10,6766,2.143,0.016056,SRMS,1.0,0.921464544469615
7694,19,58535607,58591123,77,8,7525,2.1413,0.016126,ZNF135,1.0,0.921464544469615
57787,19,45719516,45818541,137,11,7442,2.1407,0.016147,MARK4,1.0,0.921464544469615
79618,8,28712911,28932456,152,10,8069,2.1373,0.016288,HMBOX1,1.0,0.921464544469615
400506,16,19707673,19764726,69,2,7574,2.1365,0.016318,KNOP1,1.0,0.921464544469615
